epoch,goog_lstm,goog_gru,goog_cnn
0,0.0022768059279769,0.0038745431229472,0.0055162357166409
1,0.0001649661426199,4.889290721621365e-05,0.0007489285198971
2,0.0001509895955678,4.864371294388548e-05,0.0006540795438922
3,0.0001403658243361,4.87574543512892e-05,0.0005796244367957
4,0.0001230740308528,4.802714829565957e-05,0.0005151448422111
5,0.0001371436228509,4.7535828343825415e-05,0.0004764445475302
6,0.0001371721446048,4.870346310781315e-05,0.0004280871653463
7,0.0001246425963472,4.681387872551568e-05,0.0003844138991553
8,0.0001191098781418,4.95328931719996e-05,0.0003416797262616
9,0.0001210492919199,5.162198067409918e-05,0.000301841791952
10,0.0001006524034892,4.438599353306927e-05,0.0002748942642938
11,0.0001512675953563,5.184261317481287e-05,0.0002512706851121
12,9.303665137849748e-05,5.331821375875734e-05,0.0002126290492014
13,9.79014512267895e-05,4.332370008341968e-05,0.0001885058154584
14,0.0001031111969496,4.3104198994115e-05,0.0001778948208084
15,0.0001068855199264,4.302387969801202e-05,0.0001771968527464
16,0.0001047215191647,4.5476794184651226e-05,0.0001600941468495
17,0.000110287546704,4.375043135951273e-05,0.0001463651424273
18,8.194821566576138e-05,4.360440652817488e-05,0.000147304526763
19,8.792376320343465e-05,4.369341331766918e-05,0.0001391725672874
20,7.857309537939727e-05,4.559008084470406e-05,0.0001297654962399
21,8.658149454277009e-05,3.871222361340188e-05,0.0001289438951062
22,7.014812581473961e-05,5.052928463555872e-05,0.0001328747457591
23,7.495434692827985e-05,5.016786599298939e-05,0.000124095371575
24,8.495566726196557e-05,3.933566404157318e-05,0.0001187773959827
25,6.705379200866446e-05,4.9817233957583085e-05,0.0001177667145384
26,7.674998778384179e-05,4.310472650104202e-05,0.0001112289028242
27,6.845997995696962e-05,5.320873242453672e-05,0.0001083890019799
28,5.761568900197744e-05,4.670318230637349e-05,0.0001172034826595
29,8.55112011777237e-05,4.865829760092311e-05,0.0001096360065275
